echo_id,kind,gid,date,in_kzt,out_kzt,lag_days,n_sources,n_targets,sources,targets,match,score,evidence
ECH-011,split,100000003684369100,2026-07-23,248000.0,247813.0,1,1,2,100000008748914100,100000001554432100 100000005074393100,within_2pct,0.4965,"received 248,000 KZT on 2026-07-23 from …8914100 and sent 247,813 KZT in 2 transfers over 2026-07-23..2026-07-24 to 2 accounts (within 2%)"
ECH-012,relay,100000001732159100,2026-07-13,318000.0,315000.0,0,1,1,100000008637537100,100000003404627100,within_2pct,0.4922,"received 318,000 KZT on 2026-07-13 from …7537100 and sent 315,000 KZT the same day to …4627100 (within 2%)"
ECH-013,split,100000004156082100,2026-07-29,273866.11,275707.0,1,1,2,100000004527381100,100000000076451100 100000002956898100,within_2pct,0.4711,"received 273,866 KZT on 2026-07-29 from …7381100 and sent 275,707 KZT in 2 transfers over 2026-07-29..2026-07-30 to 2 accounts (within 2%)"
ECH-014,split,100000000331309100,2026-07-23,242000.0,240970.0,0,1,2,100000008748914100,100000004450649100 100000004917367100,within_2pct,0.4531,"received 242,000 KZT on 2026-07-23 from …8914100 and sent 240,970 KZT in 2 transfers over 2026-07-23 to 2 accounts (within 2%)"
ECH-015,relay,100000003016438100,2026-07-17,200000.0,200000.0,0,1,1,100000008466579100,100000004006327100,exact,0.4454,"received 200,000 KZT on 2026-07-17 from …6579100 and sent 200,000 KZT the same day to …6327100 (exact)"
ECH-016,relay,100000003684369100,2026-07-26,200000.0,200000.0,0,1,1,100000003299365100,100000003299365100,exact,0.4454,"received 200,000 KZT on 2026-07-26 from …9365100 and sent 200,000 KZT the same day back to …9365100 (exact)"
ECH-017,relay,100000004979498100,2026-07-10,200000.0,200000.0,0,1,1,100000004135268100,100000008571433100,exact,0.4454,"received 200,000 KZT on 2026-07-10 from …5268100 and sent 200,000 KZT the same day to …1433100 (exact)"
ECH-018,split,100000003684369100,2026-07-24,257000.0,258990.0,1,1,2,100000008748914100,100000002957306100 100000005079754100,within_2pct,0.4403,"received 257,000 KZT on 2026-07-24 from …8914100 and sent 258,990 KZT in 2 transfers over 2026-07-24..2026-07-25 to 2 accounts (within 2%)"
ECH-019,split,100000002578405100,2026-07-13,198256.0,198100.0,1,1,3,100000005041905100,100000002305007100 100000008712827100 100000008712991100,within_2pct,0.4352,"received 198,256 KZT on 2026-07-13 from …1905100 and sent 198,100 KZT in 3 transfers over 2026-07-13..2026-07-14 to 3 accounts (within 2%)"
ECH-020,relay,100000000201868100,2026-07-03,190000.0,190000.0,1,1,1,100000006069103100,100000006069103100,exact,0.4331,"received 190,000 KZT on 2026-07-03 from …9103100 and sent 190,000 KZT the next day back to …9103100 (exact)"
ECH-021,split,100000002224132100,2026-07-27,247720.0,250000.0,0,1,1,100000003835149100,100000000594783100,within_2pct,0.4147,"received 247,720 KZT on 2026-07-27 from …5149100 and sent 250,000 KZT in 2 transfers over 2026-07-27 to 1 accounts (within 2%)"
ECH-022,relay,100000002921047100,2026-07-27,163000.0,163000.02,0,1,1,100000008489922100,100000002635780100,exact,0.4,"received 163,000 KZT on 2026-07-27 from …9922100 and sent 163,000 KZT the same day to …5780100 (exact)"
ECH-023,split,100000002578405100,2026-07-28,200000.0,201550.0,1,1,4,100000005041905100,100000001697501100 100000007303047100 100000008769097100 100000008772246100,within_2pct,0.3698,"received 200,000 KZT on 2026-07-28 from …1905100 and sent 201,550 KZT in 4 transfers over 2026-07-28..2026-07-29 to 4 accounts (within 2%)"
ECH-024,relay,100000003684369100,2026-07-23,164000.0,164612.0,1,1,1,100000008748914100,100000002621949100,within_2pct,0.3647,"received 164,000 KZT on 2026-07-23 from …8914100 and sent 164,612 KZT the next day to …1949100 (within 2%)"
ECH-025,split,100000007594394100,2026-07-17,130000.0,130000.0,0,1,1,100000004400305100,100000006274203100,exact,0.3595,"received 130,000 KZT on 2026-07-17 from …0305100 and sent 130,000 KZT in 2 transfers over 2026-07-17 to 1 accounts (exact)"
ECH-026,relay,100000007629096100,2026-07-14,118000.0,118000.0,0,1,1,100000008304139100,100000002741024100,exact,0.3448,"received 118,000 KZT on 2026-07-14 from …4139100 and sent 118,000 KZT the same day to …1024100 (exact)"
ECH-027,split,100000008748408100,2026-07-28,110000.0,110000.0,1,1,2,100000007982728100,100000002870463100 100000008765627100,exact,0.335,"received 110,000 KZT on 2026-07-28 from …2728100 and sent 110,000 KZT in 2 transfers over 2026-07-28..2026-07-29 to 2 accounts (exact)"
ECH-028,split,100000007390016100,2026-07-03,105000.0,105000.0,1,1,1,100000008324800100,100000008324800100,exact,0.3288,"received 105,000 KZT on 2026-07-03 from …4800100 and sent 105,000 KZT in 2 transfers over 2026-07-03..2026-07-04 to 1 accounts (exact)"
ECH-029,split,100000003684369100,2026-07-16,120000.0,120250.0,1,1,2,100000003880331100,100000001746925100 100000008438656100,within_2pct,0.3267,"received 120,000 KZT on 2026-07-16 from …0331100 and sent 120,250 KZT in 2 transfers over 2026-07-16..2026-07-17 to 2 accounts (within 2%)"
ECH-030,fan_split,100000000331309100,2026-07-03,0.0,100000.0,0,0,4,,100000004278574100 100000004315838100 100000007863304100 100000008438656100,exact,0.3227,"sent 25,000 KZT each to 4 distinct accounts on 2026-07-03, 100,000 KZT in total (exact)"
ECH-031,relay,100000000331309100,2026-07-14,100000.0,100000.0,0,1,1,100000003880331100,100000004889043100,exact,0.3227,"received 100,000 KZT on 2026-07-14 from …0331100 and sent 100,000 KZT the same day to …9043100 (exact)"
ECH-032,relay,100000001857829100,2026-07-21,100000.0,100000.0,0,1,1,100000003880331100,100000003880331100,exact,0.3227,"received 100,000 KZT on 2026-07-21 from …0331100 and sent 100,000 KZT the same day back to …0331100 (exact)"
ECH-033,relay,100000003684369100,2026-07-21,100000.0,100000.0,1,1,1,100000008304139100,100000000810551100,exact,0.3227,"received 100,000 KZT on 2026-07-21 from …4139100 and sent 100,000 KZT the next day to …0551100 (exact)"
ECH-034,split,100000003684369100,2026-07-22,100000.0,100000.0,1,1,3,100000003880331100,100000004315838100 100000008628231100 100000008664469100,exact,0.3227,"received 100,000 KZT on 2026-07-22 from …0331100 and sent 100,000 KZT in 3 transfers over 2026-07-22..2026-07-23 to 3 accounts (exact)"
ECH-035,relay,100000004407753100,2026-07-09,100000.0,100000.0,1,1,1,100000007382543100,100000007382543100,exact,0.3227,"received 100,000 KZT on 2026-07-09 from …2543100 and sent 100,000 KZT the next day back to …2543100 (exact)"
ECH-036,relay,100000004906181100,2026-07-05,100000.0,100000.0,0,1,1,100000000331309100,100000008175078100,exact,0.3227,"received 100,000 KZT on 2026-07-05 from …1309100 and sent 100,000 KZT the same day to …5078100 (exact)"
ECH-037,relay,100000008561016100,2026-07-26,100000.0,100000.0,0,1,1,100000008710791100,100000001724740100,exact,0.3227,"received 100,000 KZT on 2026-07-26 from …0791100 and sent 100,000 KZT the same day to …4740100 (exact)"
ECH-038,split,100000008731444100,2026-07-28,150000.0,150967.8,1,1,2,100000004351795100,100000006788200100 100000007138613100,within_2pct,0.3207,"received 150,000 KZT on 2026-07-28 from …1795100 and sent 150,968 KZT in 2 transfers over 2026-07-28..2026-07-29 to 2 accounts (within 2%)"
ECH-039,split,100000000331309100,2026-07-14,130000.0,130515.0,1,1,2,100000001279272100,100000003035737100 100000006126743100,within_2pct,0.3205,"received 130,000 KZT on 2026-07-14 from …9272100 and sent 130,515 KZT in 2 transfers over 2026-07-14..2026-07-15 to 2 accounts (within 2%)"
ECH-040,split,100000004070318100,2026-07-10,90000.0,90000.0,1,1,3,100000000437046100,100000006866783100 100000008346837100 100000008603629100,exact,0.3104,"received 90,000 KZT on 2026-07-10 from …7046100 and sent 90,000 KZT in 5 transfers over 2026-07-10..2026-07-11 to 3 accounts (exact)"
ECH-041,split,100000003016635100,2026-07-06,87000.0,87000.0,0,1,2,100000005287097100,100000001805543100 100000007641183100,exact,0.3067,"received 87,000 KZT on 2026-07-06 from …7097100 and sent 87,000 KZT in 2 transfers over 2026-07-06 to 2 accounts (exact)"
ECH-042,relay,100000008192264100,2026-07-20,162810.0,164420.0,0,1,1,100000000331309100,100000008168850100,within_2pct,0.3029,"received 162,810 KZT on 2026-07-20 from …1309100 and sent 164,420 KZT the same day to …8850100 (within 2%)"
ECH-043,relay,100000003265158100,2026-07-11,80700.0,80700.0,0,1,1,100000008680731100,100000007242833100,exact,0.299,"received 80,700 KZT on 2026-07-11 from …0731100 and sent 80,700 KZT the same day to …2833100 (exact)"
ECH-044,split,100000008561016100,2026-07-25,80000.0,80000.0,1,1,1,100000008710791100,100000001724740100,exact,0.2982,"received 80,000 KZT on 2026-07-25 from …0791100 and sent 80,000 KZT in 2 transfers over 2026-07-25..2026-07-26 to 1 accounts (exact)"
ECH-045,split,100000001073568100,2026-07-13,186980.0,189503.0,0,1,2,100000005933757100,100000000803368100 100000004500444100,within_2pct,0.2976,"received 186,980 KZT on 2026-07-13 from …3757100 and sent 189,503 KZT in 2 transfers over 2026-07-13 to 2 accounts (within 2%)"
ECH-046,split,100000003016635100,2026-07-09,81600.0,81622.0,1,1,2,100000006579678100,100000004408683100 100000004559194100,within_2pct,0.2975,"received 81,600 KZT on 2026-07-09 from …9678100 and sent 81,622 KZT in 2 transfers over 2026-07-09..2026-07-10 to 2 accounts (within 2%)"
ECH-047,split,100000005910114100,2026-07-12,93168.0,92977.0,0,1,3,100000004400305100,100000003747133100 100000008165763100 100000008603629100,within_2pct,0.2936,"received 93,168 KZT on 2026-07-12 from …0305100 and sent 92,977 KZT in 3 transfers over 2026-07-12 to 3 accounts (within 2%)"
ECH-048,split,100000004299488100,2026-07-08,70000.0,70000.0,0,1,1,100000002957787100,100000007055802100,exact,0.2859,"received 70,000 KZT on 2026-07-08 from …7787100 and sent 70,000 KZT in 3 transfers over 2026-07-08 to 1 accounts (exact)"
ECH-049,split,100000007390016100,2026-07-07,70000.0,70000.0,0,1,1,100000008324800100,100000008324800100,exact,0.2859,"received 70,000 KZT on 2026-07-07 from …4800100 and sent 70,000 KZT in 4 transfers over 2026-07-07 to 1 accounts (exact)"
ECH-050,split,100000008324800100,2026-07-16,70000.0,70000.0,1,1,1,100000008304139100,100000007390016100,exact,0.2859,"received 70,000 KZT on 2026-07-16 from …4139100 and sent 70,000 KZT in 4 transfers over 2026-07-16..2026-07-17 to 1 accounts (exact)"
ECH-051,relay,100000001637376100,2026-07-29,116700.0,116000.0,0,1,1,100000000331309100,100000008376785100,within_2pct,0.2823,"received 116,700 KZT on 2026-07-29 from …1309100 and sent 116,000 KZT the same day to …6785100 (within 2%)"
ECH-052,split,100000005910114100,2026-07-10,92009.0,92335.0,0,1,3,100000008346837100,100000002398779100 100000003747133100 100000008525136100,within_2pct,0.2779,"received 92,009 KZT on 2026-07-10 from …6837100 and sent 92,335 KZT in 3 transfers over 2026-07-10 to 3 accounts (within 2%)"
ECH-053,relay,100000000661912100,2026-07-08,70633.0,70700.0,0,1,1,100000008477350100,100000003131016100,within_2pct,0.2773,"received 70,633 KZT on 2026-07-08 from …7350100 and sent 70,700 KZT the same day to …1016100 (within 2%)"
ECH-054,split,100000003635170100,2026-07-30,60000.0,60000.0,0,1,2,100000004209339100,100000002156381100 100000003321423100,exact,0.2736,"received 60,000 KZT on 2026-07-30 from …9339100 and sent 60,000 KZT in 2 transfers over 2026-07-30 to 2 accounts (exact)"
ECH-055,fan_split,100000005933757100,2026-07-18,0.0,60000.0,0,0,3,,100000002546921100 100000004500444100 100000008682426100,exact,0.2736,"sent 20,000 KZT each to 3 distinct accounts on 2026-07-18, 60,000 KZT in total (exact)"
ECH-056,relay,100000006866783100,2026-07-16,60000.0,60000.0,0,1,1,100000004390333100,100000007055802100,exact,0.2736,"received 60,000 KZT on 2026-07-16 from …0333100 and sent 60,000 KZT the same day to …5802100 (exact)"
ECH-057,split,100000008603629100,2026-07-30,59000.0,59000.0,0,1,2,100000008304139100,100000001857829100 100000003711830100,exact,0.2724,"received 59,000 KZT on 2026-07-30 from …4139100 and sent 59,000 KZT in 2 transfers over 2026-07-30 to 2 accounts (exact)"
ECH-058,relay,100000000661912100,2026-07-12,69868.0,70000.0,0,1,1,100000004400305100,100000003131016100,within_2pct,0.267,"received 69,868 KZT on 2026-07-12 from …0305100 and sent 70,000 KZT the same day to …1016100 (within 2%)"
ECH-059,relay,100000001616816100,2026-07-14,53000.0,53000.0,0,1,1,100000001937767100,100000001937767100,exact,0.265,"received 53,000 KZT on 2026-07-14 from …7767100 and sent 53,000 KZT the same day back to …7767100 (exact)"
ECH-060,relay,100000005357705100,2026-07-26,52595.0,52595.0,0,1,1,100000008603629100,100000008337304100,exact,0.2645,"received 52,595 KZT on 2026-07-26 from …3629100 and sent 52,595 KZT the same day to …7304100 (exact)"
ECH-061,fan_split,100000002578405100,2026-07-07,0.0,51600.0,0,0,3,,100000003192309100 100000007022818100 100000008684951100,exact,0.2633,"sent 17,200 KZT each to 3 distinct accounts on 2026-07-07, 51,600 KZT in total (exact)"
ECH-062,relay,100000001102676100,2026-07-26,50000.0,50000.0,0,1,1,100000005612411100,100000003684369100,exact,0.2613,"received 50,000 KZT on 2026-07-26 from …2411100 and sent 50,000 KZT the same day to …4369100 (exact)"
ECH-063,relay,100000003684369100,2026-07-24,50000.0,50000.0,1,1,1,100000008304139100,100000006446271100,exact,0.2613,"received 50,000 KZT on 2026-07-24 from …4139100 and sent 50,000 KZT the next day to …6271100 (exact)"
ECH-064,relay,100000003701161100,2026-07-18,50000.0,50000.0,1,1,1,100000002267998100,100000003718221100,exact,0.2613,"received 50,000 KZT on 2026-07-18 from …7998100 and sent 50,000 KZT the next day to …8221100 (exact)"
ECH-065,relay,100000005519998100,2026-07-19,50000.0,50000.0,1,1,1,100000004017410100,100000004017410100,exact,0.2613,"received 50,000 KZT on 2026-07-19 from …7410100 and sent 50,000 KZT the next day back to …7410100 (exact)"
ECH-066,relay,100000006518161100,2026-07-31,50000.0,50000.0,0,1,1,100000004156082100,100000005660203100,exact,0.2613,"received 50,000 KZT on 2026-07-31 from …6082100 and sent 50,000 KZT the same day to …0203100 (exact)"
ECH-067,split,100000008603629100,2026-07-03,50000.0,50000.0,1,1,2,100000004390333100,100000004071080100 100000008473765100,exact,0.2613,"received 50,000 KZT on 2026-07-03 from …0333100 and sent 50,000 KZT in 2 transfers over 2026-07-03..2026-07-04 to 2 accounts (exact)"
ECH-068,relay,100000008731444100,2026-07-22,50000.0,50000.0,1,1,1,100000004351795100,100000000288317100,exact,0.2613,"received 50,000 KZT on 2026-07-22 from …1795100 and sent 50,000 KZT the next day to …8317100 (exact)"
ECH-069,relay,100000008389800100,2026-07-02,49000.0,49000.0,0,1,1,100000007511163100,100000007511163100,exact,0.2601,"received 49,000 KZT on 2026-07-02 from …1163100 and sent 49,000 KZT the same day back to …1163100 (exact)"
ECH-070,relay,100000005610717100,2026-07-23,48900.0,48900.0,0,1,1,100000000437046100,100000008469048100,exact,0.26,"received 48,900 KZT on 2026-07-23 from …7046100 and sent 48,900 KZT the same day to …9048100 (exact)"
ECH-071,relay,100000007629096100,2026-07-02,48785.0,48785.0,1,1,1,100000005910114100,100000002741024100,exact,0.2599,"received 48,785 KZT on 2026-07-02 from …0114100 and sent 48,785 KZT the next day to …1024100 (exact)"
ECH-072,relay,100000007629096100,2026-07-14,48385.0,48385.0,0,1,1,100000005910114100,100000002741024100,exact,0.2594,"received 48,385 KZT on 2026-07-14 from …0114100 and sent 48,385 KZT the same day to …1024100 (exact)"
ECH-073,split,100000002578405100,2026-07-23,110000.0,109150.0,1,1,4,100000001697501100,100000008749405100 100000008750464100 100000008754747100 100000008754997100,within_2pct,0.2567,"received 110,000 KZT on 2026-07-23 from …7501100 and sent 109,150 KZT in 4 transfers over 2026-07-23..2026-07-24 to 4 accounts (within 2%)"
ECH-074,fan_split,100000008413748100,2026-07-08,0.0,45000.0,0,0,3,,100000002975287100 100000008011573100 100000008560717100,exact,0.2552,"sent 15,000 KZT each to 3 distinct accounts on 2026-07-08, 45,000 KZT in total (exact)"
ECH-075,split,100000002527114100,2026-07-23,65000.0,64814.0,1,1,2,100000001697501100,100000000907277100 100000008749618100,within_2pct,0.2509,"received 65,000 KZT on 2026-07-23 from …7501100 and sent 64,814 KZT in 2 transfers over 2026-07-23..2026-07-24 to 2 accounts (within 2%)"
ECH-076,relay,100000002193259100,2026-07-08,40000.0,40000.0,0,1,1,100000000933075100,100000000933075100,exact,0.2491,"received 40,000 KZT on 2026-07-08 from …3075100 and sent 40,000 KZT the same day back to …3075100 (exact)"
ECH-077,relay,100000007594394100,2026-07-14,40000.0,40000.0,0,1,1,100000008165763100,100000006274203100,exact,0.2491,"received 40,000 KZT on 2026-07-14 from …5763100 and sent 40,000 KZT the same day to …4203100 (exact)"
ECH-078,relay,100000003718221100,2026-07-08,35000.0,35000.0,1,1,1,100000003701161100,100000003701161100,exact,0.2429,"received 35,000 KZT on 2026-07-08 from …1161100 and sent 35,000 KZT the next day back to …1161100 (exact)"
ECH-079,relay,100000003718221100,2026-07-20,35000.0,35000.0,1,1,1,100000003701161100,100000003701161100,exact,0.2429,"received 35,000 KZT on 2026-07-20 from …1161100 and sent 35,000 KZT the next day back to …1161100 (exact)"
ECH-080,relay,100000008111003100,2026-07-18,35000.0,35000.0,0,1,1,100000003796063100,100000003796063100,exact,0.2429,"received 35,000 KZT on 2026-07-18 from …6063100 and sent 35,000 KZT the same day back to …6063100 (exact)"
ECH-081,relay,100000002731501100,2026-07-29,30000.0,30000.0,0,1,1,100000004160650100,100000003031890100,exact,0.2368,"received 30,000 KZT on 2026-07-29 from …0650100 and sent 30,000 KZT the same day to …1890100 (exact)"
ECH-082,relay,100000003942602100,2026-07-09,30000.0,30000.0,0,1,1,100000002527114100,100000002527114100,exact,0.2368,"received 30,000 KZT on 2026-07-09 from …7114100 and sent 30,000 KZT the same day back to …7114100 (exact)"
ECH-083,fan_split,100000006866783100,2026-07-09,0.0,30000.0,0,0,3,,100000001126374100 100000003066385100 100000008665380100,exact,0.2368,"sent 10,000 KZT each to 3 distinct accounts on 2026-07-09, 30,000 KZT in total (exact)"
ECH-084,fan_split,100000006866783100,2026-07-16,0.0,30000.0,0,0,3,,100000000089154100 100000000555721100 100000008560717100,exact,0.2368,"sent 10,000 KZT each to 3 distinct accounts on 2026-07-16, 30,000 KZT in total (exact)"
ECH-085,relay,100000008477350100,2026-07-08,30000.0,30000.0,0,1,1,100000003796063100,100000008560717100,exact,0.2368,"received 30,000 KZT on 2026-07-08 from …6063100 and sent 30,000 KZT the same day to …0717100 (exact)"
ECH-086,split,100000008637537100,2026-07-01,30000.0,30000.0,1,1,1,100000001732159100,100000001732159100,exact,0.2368,"received 30,000 KZT on 2026-07-01 from …2159100 and sent 30,000 KZT in 2 transfers over 2026-07-01..2026-07-02 to 1 accounts (exact)"
ECH-087,relay,100000003265158100,2026-07-30,46800.0,46700.0,0,1,1,100000008636603100,100000004386258100,within_2pct,0.2359,"received 46,800 KZT on 2026-07-30 from …6603100 and sent 46,700 KZT the same day to …6258100 (within 2%)"
ECH-088,split,100000008603629100,2026-07-27,100000.0,100889.0,1,1,2,100000003880331100,100000003366471100 100000006788200100,within_2pct,0.2349,"received 100,000 KZT on 2026-07-27 from …0331100 and sent 100,889 KZT in 2 transfers over 2026-07-27..2026-07-28 to 2 accounts (within 2%)"
ECH-089,split,100000004400305100,2026-07-23,105000.0,106000.0,1,1,2,100000008748914100,100000001066017100 100000001126374100,within_2pct,0.2348,"received 105,000 KZT on 2026-07-23 from …8914100 and sent 106,000 KZT in 2 transfers over 2026-07-23..2026-07-24 to 2 accounts (within 2%)"
ECH-090,relay,100000008493007100,2026-07-28,26150.0,26150.0,1,1,1,100000002578405100,100000005685783100,exact,0.2321,"received 26,150 KZT on 2026-07-28 from …8405100 and sent 26,150 KZT the next day to …5783100 (exact)"
ECH-091,relay,100000006518161100,2026-07-22,25900.0,25900.0,0,1,1,100000003016635100,100000005660203100,exact,0.2318,"received 25,900 KZT on 2026-07-22 from …6635100 and sent 25,900 KZT the same day to …0203100 (exact)"
ECH-092,relay,100000008757369100,2026-07-26,25961.0,25960.0,0,1,1,100000000437046100,100000008757301100,within_2pct,0.2315,"received 25,961 KZT on 2026-07-26 from …7046100 and sent 25,960 KZT the same day to …7301100 (within 2%)"
ECH-093,relay,100000002527114100,2026-07-04,25000.0,25000.0,0,1,1,100000001697501100,100000001697501100,exact,0.2307,"received 25,000 KZT on 2026-07-04 from …7501100 and sent 25,000 KZT the same day back to …7501100 (exact)"
ECH-094,relay,100000008213966100,2026-07-03,23000.0,23000.0,0,1,1,100000004707703100,100000000838385100,exact,0.2282,"received 23,000 KZT on 2026-07-03 from …7703100 and sent 23,000 KZT the same day to …8385100 (exact)"
ECH-095,relay,100000006866783100,2026-07-12,22000.0,22000.0,0,1,1,100000000089154100,100000004299488100,exact,0.227,"received 22,000 KZT on 2026-07-12 from …9154100 and sent 22,000 KZT the same day to …9488100 (exact)"
ECH-096,split,100000000437046100,2026-07-19,75500.0,75000.0,1,1,2,100000004351795100,100000004299488100 100000007055802100,within_2pct,0.2258,"received 75,500 KZT on 2026-07-19 from …1795100 and sent 75,000 KZT in 2 transfers over 2026-07-19..2026-07-20 to 2 accounts (within 2%)"
ECH-097,split,100000001872484100,2026-07-16,50000.0,50180.0,1,1,2,100000008601794100,100000002459163100 100000008601794100,within_2pct,0.2256,"received 50,000 KZT on 2026-07-16 from …1794100 and sent 50,180 KZT in 2 transfers over 2026-07-16..2026-07-17 to 2 accounts (within 2%)"
ECH-098,relay,100000008106997100,2026-07-22,20600.0,20600.0,0,1,1,100000000089154100,100000006844004100,exact,0.2253,"received 20,600 KZT on 2026-07-22 from …9154100 and sent 20,600 KZT the same day to …4004100 (exact)"
ECH-099,relay,100000001445848100,2026-07-06,20000.0,20000.0,1,1,1,100000002217161100,100000002217161100,exact,0.2245,"received 20,000 KZT on 2026-07-06 from …7161100 and sent 20,000 KZT the next day back to …7161100 (exact)"
ECH-100,split,100000001732159100,2026-07-13,20000.0,20000.0,1,1,1,100000008637537100,100000008314203100,exact,0.2245,"received 20,000 KZT on 2026-07-13 from …7537100 and sent 20,000 KZT in 2 transfers over 2026-07-13..2026-07-14 to 1 accounts (exact)"
ECH-101,relay,100000002731501100,2026-07-27,20000.0,20000.0,1,1,1,100000004160650100,100000004160650100,exact,0.2245,"received 20,000 KZT on 2026-07-27 from …0650100 and sent 20,000 KZT the next day back to …0650100 (exact)"
ECH-102,relay,100000004159526100,2026-07-08,20000.0,20000.0,1,1,1,100000002132479100,100000002132479100,exact,0.2245,"received 20,000 KZT on 2026-07-08 from …2479100 and sent 20,000 KZT the next day back to …2479100 (exact)"
ECH-103,relay,100000005704413100,2026-07-13,20000.0,20000.0,1,1,1,100000008104567100,100000008379273100,exact,0.2245,"received 20,000 KZT on 2026-07-13 from …4567100 and sent 20,000 KZT the next day to …9273100 (exact)"
ECH-104,relay,100000006866783100,2026-07-08,20000.0,20000.0,1,1,1,100000008304139100,100000004071080100,exact,0.2245,"received 20,000 KZT on 2026-07-08 from …4139100 and sent 20,000 KZT the next day to …1080100 (exact)"
ECH-105,relay,100000006866783100,2026-07-14,20000.0,20000.0,0,1,1,100000008632060100,100000008221543100,exact,0.2245,"received 20,000 KZT on 2026-07-14 from …2060100 and sent 20,000 KZT the same day to …1543100 (exact)"
ECH-106,relay,100000008730846100,2026-07-19,20000.0,20000.0,0,1,1,100000008632060100,100000003115284100,exact,0.2245,"received 20,000 KZT on 2026-07-19 from …2060100 and sent 20,000 KZT the same day to …5284100 (exact)"
ECH-107,split,100000004299488100,2026-07-11,100000.0,101000.0,1,1,1,100000006866783100,100000007055802100,within_2pct,0.2239,"received 100,000 KZT on 2026-07-11 from …6783100 and sent 101,000 KZT in 3 transfers over 2026-07-11..2026-07-12 to 1 accounts (within 2%)"
ECH-108,relay,100000005363908100,2026-07-06,19500.0,19500.0,0,1,1,100000008575624100,100000005546031100,exact,0.2239,"received 19,500 KZT on 2026-07-06 from …5624100 and sent 19,500 KZT the same day to …6031100 (exact)"
ECH-109,relay,100000003242289100,2026-07-15,101000.0,100000.0,0,1,1,100000008512552100,100000007653003100,within_2pct,0.2237,"received 101,000 KZT on 2026-07-15 from …2552100 and sent 100,000 KZT the same day to …3003100 (within 2%)"
ECH-110,relay,100000000785800100,2026-07-31,19000.0,19000.0,0,1,1,100000001872484100,100000008601794100,exact,0.2233,"received 19,000 KZT on 2026-07-31 from …2484100 and sent 19,000 KZT the same day to …1794100 (exact)"
ECH-111,split,100000006866783100,2026-07-01,95500.0,94604.0,0,1,2,100000008587459100,100000002214301100 100000002306369100,within_2pct,0.2223,"received 95,500 KZT on 2026-07-01 from …7459100 and sent 94,604 KZT in 2 transfers over 2026-07-01 to 2 accounts (within 2%)"
ECH-112,relay,100000000850297100,2026-07-19,17520.0,17520.0,0,1,1,100000006707582100,100000006707582100,exact,0.2215,"received 17,520 KZT on 2026-07-19 from …7582100 and sent 17,520 KZT the same day back to …7582100 (exact)"
ECH-113,split,100000005578559100,2026-07-06,51000.0,50785.0,1,1,2,100000004569484100,100000000955529100 100000001280798100,within_2pct,0.2202,"received 51,000 KZT on 2026-07-06 from …9484100 and sent 50,785 KZT in 2 transfers over 2026-07-06..2026-07-07 to 2 accounts (within 2%)"
